dataset,theta,seed,m_tau50,m_tau70,m_tau90,m_mean,d_a,d_b,d_mean,d_avg_arm,loss_parent_a,loss_parent_b,self_merge_d,params_merged
long_phrase,0.0,0,0.751953125,0.521484375,0.23046875,0.6699188947677612,1.67332124710083,1.7716327905654907,1.7224770188331604,2.036634147167206,1.3985035419464111,1.3658689260482788,8.195638656616211e-05,405504
long_phrase,0.0,1,0.8037109375,0.54296875,0.2177734375,0.6948827505111694,1.5990897417068481,1.5856750011444092,1.5923823714256287,1.5954622626304626,1.3787161111831665,1.357032299041748,0.0006899833679199219,405504
long_phrase,0.0,2,0.7216796875,0.408203125,0.115234375,0.6277337074279785,1.7814691066741943,1.3238604068756104,1.5526647567749023,1.5557228326797485,1.4459683895111084,1.3579826354980469,0.004019558429718018,405504
long_phrase,0.1,0,0.7109375,0.482421875,0.2177734375,0.6490353345870972,1.6214476823806763,1.9400005340576172,1.7807241082191467,1.8608099818229675,1.3884464502334595,1.3605916500091553,0.0023099780082702637,405504
long_phrase,0.1,1,0.7431640625,0.5166015625,0.2041015625,0.6716673374176025,1.473303198814392,1.7292888164520264,1.6012960076332092,1.7029749751091003,1.382680058479309,1.3557450771331787,-0.00011682510375976562,405504
long_phrase,0.1,2,0.669921875,0.3544921875,0.1025390625,0.6003831624984741,1.4682666063308716,1.3815125226974487,1.4248895645141602,1.5164662599563599,1.3775027990341187,1.3599311113357544,0.005002439022064209,405504
long_phrase,0.2,0,0.7587890625,0.5400390625,0.25390625,0.6855573058128357,1.7317726612091064,1.7067153453826904,1.7192440032958984,2.022857666015625,1.381988763809204,1.3587439060211182,0.0027059316635131836,405504
long_phrase,0.2,1,0.7724609375,0.52734375,0.197265625,0.6874008774757385,1.2176297903060913,1.377334475517273,1.2974821329116821,1.4618030786514282,1.38369619846344,1.3565868139266968,-0.00033986568450927734,405504
long_phrase,0.2,2,0.6494140625,0.35546875,0.0869140625,0.5956128835678101,1.5827897787094116,1.2667025327682495,1.4247461557388306,1.3502416610717773,1.3925281763076782,1.3549212217330933,0.004870593547821045,405504
long_phrase,0.3,0,0.75,0.4951171875,0.2421875,0.6731276512145996,1.6056824922561646,1.5747458934783936,1.590214192867279,1.8693251013755798,1.377510905265808,1.3658561706542969,0.006154000759124756,405504
long_phrase,0.3,1,0.8046875,0.55859375,0.2041015625,0.6989936232566833,1.2618151903152466,1.371039628982544,1.3164274096488953,1.380081593990326,1.3804250955581665,1.355194091796875,-8.171796798706055e-05,405504
long_phrase,0.3,2,0.693359375,0.3603515625,0.0830078125,0.6050577163696289,1.3467203378677368,1.1150482892990112,1.230884313583374,1.3530713319778442,1.4196513891220093,1.3584522008895874,0.0047345757484436035,405504
long_phrase,0.4,0,0.720703125,0.4951171875,0.228515625,0.65921950340271,1.5862138271331787,1.560410976409912,1.5733124017715454,1.862136960029602,1.398996114730835,1.3510417938232422,0.002326786518096924,405504
long_phrase,0.4,1,0.802734375,0.529296875,0.224609375,0.6943574547767639,1.0004172325134277,0.9999830722808838,1.0002001523971558,1.1854664087295532,1.3788254261016846,1.3488044738769531,-0.0019391179084777832,405504
long_phrase,0.4,2,0.693359375,0.373046875,0.103515625,0.6096774339675903,1.360050082206726,1.1393275260925293,1.2496888041496277,1.3814615607261658,1.439923882484436,1.3487706184387207,0.0008851289749145508,405504
long_phrase,0.5,0,0.763671875,0.5009765625,0.240234375,0.6733765006065369,1.2998186349868774,1.2781786918640137,1.2889986634254456,1.543301284313202,1.3805118799209595,1.3645572662353516,0.0020830631256103516,405504
long_phrase,0.5,1,0.818359375,0.5595703125,0.21875,0.7077499628067017,0.8196090459823608,0.9839541912078857,0.9017816185951233,1.0215277075767517,1.3693448305130005,1.3588640689849854,0.0004957318305969238,405504
long_phrase,0.5,2,0.7255859375,0.4375,0.142578125,0.6415328979492188,1.3886290788650513,1.0330016613006592,1.2108153700828552,1.321444809436798,1.4095319509506226,1.3525450229644775,0.007868647575378418,405504
long_phrase,0.6,0,0.7529296875,0.5302734375,0.23828125,0.6742156744003296,1.0877046585083008,1.225562334060669,1.1566334962844849,1.5152990818023682,1.39328932762146,1.3649463653564453,0.001396477222442627,405504
long_phrase,0.6,1,0.8154296875,0.560546875,0.2216796875,0.7014425992965698,0.80051589012146,0.9820643663406372,0.8912901282310486,1.081608235836029,1.3886046409606934,1.3494240045547485,-0.0011574029922485352,405504
long_phrase,0.6,2,0.6728515625,0.35546875,0.0869140625,0.5986666679382324,1.1047598123550415,0.8892571926116943,0.9970085024833679,1.1085134148597717,1.4144054651260376,1.3467068672180176,-0.0005590915679931641,405504
long_phrase,0.7,0,0.7314453125,0.5,0.2392578125,0.6628717184066772,0.8956625461578369,1.1769763231277466,1.0363194346427917,1.4124993681907654,1.3931658267974854,1.366559624671936,0.00416034460067749,405504
long_phrase,0.7,1,0.8095703125,0.560546875,0.2373046875,0.705538272857666,0.6147303581237793,0.7537225484848022,0.6842264533042908,0.8220173120498657,1.373315691947937,1.352537751197815,0.00029838085174560547,405504
long_phrase,0.7,2,0.6953125,0.3896484375,0.1005859375,0.6137322187423706,0.8075320720672607,0.7063020467758179,0.7569170594215393,0.9397279620170593,1.4134693145751953,1.348819375038147,0.0036458373069763184,405504
